Düsseldorf est une ville de l'ouest de l'Allemagne.|de-10,fr
Düsseldorf se situe au milieu de la plaine de Rhénanie au confluent de la Düssel et du Rhein.|de-10,fr-64,de-6,fr-7,de-5,fr
Aujourd'hui, la ville entière est souvent appelée à tort Garmisch, à la grande consternation des habitants de Partenkirchen.|fr-57.de-8,fr-45,de-13,fr
Garmisch et Partenkirchen sont séparés pendant de nombreux siècles en conservant des identités très distinctes.|de-25,fr
Erwin Schrödinger est un physicien, philosophe et théoricien scientifique autrichien.|de-17,fr
Cette requête s'explique par les relations peu conventionnelles que Schrödinger entretient avec les femmes:|fr-67,de-11,fr
Le fait que Schrödinger ait ouvertement eu deux femmes, même si l'une d'elles était mariée à un autre,|fr-12,de-11,fr
Lorsque l'entreprise devient la Bayerische Motoren Werke, ses dirigeants décident d'utiliser les couleurs de la Bavière.|fr-32,de-24,fr
La vente a été signée à München par Joachim Milberg, président du groupe et Jacques Nasser, président du constructeur américain.|fr-24,de-7,fr-5,de-15,fr
Son père avait étudié la théologie à Heidelberg et à Hamburg.|fr-37,de-10,fr-6,de-7,fr
Horst Kasner part pour Templin dans le Brandeburg pour se consacrer à la fondation d'un centre pastoral de formation continue.|de-12,fr-27,de-10,fr
Klaus Töpfer devient ensuite Secrétaire général adjoint des Nations unies,|de-12,fr
Située à la frontière allemande, la ville est célèbre pour avoir vu naître Mozart.|fr-75,de-6,fr
Le festival de musique classique de Salzbourg est l'un des plus prestigieux au monde.|fr-36,de-9,fr
Au siècle, la ville se baroquise, notamment sous les princes-archevêques Wolf Dietrich von Raitenau et Markus Sittikus von Hohenems.|fr-73,de-26,fr-4,de-28,fr
Salzbourg est parfois surnommée la ville aux cent églises.|de-9,fr
Il est délimité au nord par la route Olmütz-Brünn et à l'ouest par la route Vienne-Brünn.|fr-37,de-12,fr-27,de-12,fr
Le champ de bataille d'Austerlitz de nos jours avec en arrière-plan le village de Pratzen.|fr-23,de-10,fr-49,de-7,fr
Les studios de Bavaria Film se trouvent à proximité dans le hameau de Geiselgasteig, c'est pourquoi Grünwald fut un lieu d'élection de nombreux acteurs allemands,|fr-15,de-12,fr-43,de-13,fr-17,de-8,fr
Otto von Bismarck, le ministre de la Guerre Albrecht von Roon et le général Helmuth von Moltke.|de-17,fr-27,de-17,fr-15,de-18,fr
