Titus reprend, avec la concubine de son père Hendrickje Stoffels,|nl-5,fr-40,nl-19,fr
Moerdijk est une commune et un village des Pays-Bas de la province du Brabant-Septentrional,|nl-8,fr-35,nl-8,fr-19,nl-21,fr
Standdaarbuiten est un village situé dans la commune néerlandaise de Moerdijk,|nl-15,fr-54,nl-8
Il est également à l'origine de l'algorithme éponyme, l'algorithme de Dijkstra, permettant de calculer des plus courts chemins dans un graphe orienté.|fr-70,nl-8,fr
La religion occupe une place centrale dans l'oeuvre de Rembrandt et la période de tension religieuse dans laquelle il a vécu donne à sa foi une certaine importance.|fr-55,nl-9,fr
Geertje entame et gagne un procès contre Rembrandt sur le sujet de promesse de mariage,|nl-7,fr-34,nl-9,fr
La ville est la plus grande de Hollande-Septentrionale, mais n'est cependant pas le chef-lieu de la province, ce dernier étant Haarlem,|fr-31,nl-23,fr-73,nl-7,fr
le Rijksmuseum, la fondation d'art moderne Stedelijk Museum et le Van Gogh Museum figurent parmi les plus visités au monde.|fr-3,nl-11,fr-29,nl-16,fr-7,nl-15,fr
Ces quartiers, parmi lesquels figurent De Pijp, le Kinkerbuurt et le Dapperbuurt, sont principalement financés par des banquiers et|fr-39,nl-7,fr-5,nl-11,fr-7,nl-11,fr
Au lendemain de la guerre, de nombreux nouveaux quartiers, tels que Osdorp,|fr-68,nl-6,fr
Les tensions liées aux démolitions atteignent leur paroxysme lors des travaux sur Nieuwmarkt, qui donnent lieu à des émeutes|fr-82,nl-10,fr
Le quartier résidentiel de l'Ijburg, construit à l'est de la ville sur des îles artificiellement créées,|fr-29,nl-6,fr
Westerpoort est une zone industrielle qui abrite de nombreuses entreprises, et profite de sa proximité avec le port d'Amsterdam.|nl-11,fr-107,nl-9,fr
Cette région est généralement associée au Waterland.|fr-42,nl-9,fr
L'aéroport d'Amsterdam-Schiphol, est le plus grand aéroport des Pays-Bas et le troisième européen en nombre de passagers,|fr-13,nl-18,fr
Par ailleurs, le Partij voor de Dieren se défend de n'être ni de droite, ni de gauche,|fr-17,nl-21,fr
Le Premier ministre a son bureau au Torentje, bâtiment adjacent au Binnenhof, siège du Parlement, en centre-ville de La Haye.|fr-36,nl-8,fr-23,nl-9,fr-41,nl-7,fr
Enfin, Maastricht est la seule ville des Pays-Bas citée dans l'hymne national néerlandais, le Wilhelmus van Nassouwe.|fr-7,nl-10,fr-77,nl-22,fr
On connaît peu de choses de la vie de Vermeer.|fr-38,nl
Vincent van Gogh grandit au sein d'une famille de l'ancienne bourgeoisie.|nl-16,fr
