000061|chéngdū dispose du statut administratif de ville sous-provinciale.|00-fr|zh-7,fr|成都 dispose du statut administratif de ville sous-provinciale. 
000062|Située à l'extrémité nord du plateau du yúnnán-gùizhōu et à la limite orientale du sìchuānpéndì,|00-fr|fr-40,zh-14,fr-29,zh-12,fr|Située à l'extrémité nord du plateau du 云南-贵州 et à la limite orientale du 四川盆地,
000063|Parmi les mesures prises dans ce sens, hànwǔdì apporte une importance particulière à la promotion des doctrines confucianistes.|00-fr|fr-39,zh-7,fr|Parmi les mesures prises dans ce sens, 汉武帝 apporte une importance particulière à la promotion des doctrines confucianistes.
000064|Cette période a été érigée en idéal de gestion politique, et tángtàizōng est présenté dans la tradition chinoise comme un empereur modèle.|00-fr|fr-61,zh-11,fr|Cette période a été érigée en idéal de gestion politique, et 唐太宗 est présenté dans la tradition chinoise comme un empereur modèle.
000065|C'est la raison pour laquelle la chángchéng, qui marquait la limite du territoire chinois vers le nord, passe à proximité de běijīng.|00-fr|fr-33,zh-10,fr-82,zh-7,fr|C'est la raison pour laquelle la 长城, qui marquait la limite du territoire chinois vers le nord, passe à proximité de 北京.
000066|běidàihé est la station balnéaire préférée des hauts dignitaires du parti communiste chinois.|00-fr|zh-8,fr|北戴河 est la station balnéaire préférée des hauts dignitaires du parti communiste chinois.
000067|Un nom plus poétique pour shànghǎi intervertit l'ordre des deux caractères hǎishàng,|00-fr|fr-26,zh-8,fr-41,zh-8,fr|Un nom plus poétique pour 上海 intervertit l'ordre des deux caractères 海上,
000068|gànzhōushì est une ville du sud de la province du jiāngxīshěng en Chine.|00-fr|zh-10,fr-40,zh-12,fr|赣州市 est une ville du sud de la province du 江西省 en Chine.
000069|Le projet de nánshǔiběidiào gōngchéng a pour objectif de détourner une proportion du débit du yángzǐjiāng pour fournir de l'eau au nord de la Chine,|00-fr|fr-13,zh-24,fr-57,zh-11,fr|Le projet de 南水北调工程 a pour objectif de détourner une proportion du débit du 扬子江 pour fournir de l'eau au nord de la Chine,
000070|Capitale de la province de húběishěng, wǔhàn est plus largement la ville principale des six provinces centrales|00-fr|fr-27,zh-10,fr-2,zh-5,fr|Capitale de la province de 湖北省, 武汉 est plus largement la ville principale des six provinces centrales
000071|La qínzhāo a incorporé la région de xiānggǎng en Chine pour la première fois en|00-fr|fr-3,zh-7,fr-26,zh-9,fr|La 秦朝 a incorporé la région de 香港 en Chine pour la première fois en
000072|Au bout d’un an, gōngsūnyǎng constate la persistance de vives réticences de la part du peuple.|00-fr|fr-17,zh-11,fr|Au bout d’un an, 公孫鞅 constate la persistance de vives réticences de la part du peuple.
000073|Il était déterminé à rétablir la gloire ancestrale de qínxiàogōng tel que du temps d'un de ses aïeuls le qínmùgōng|00-fr|fr-54,zh-11,fr-40,zh|Il était déterminé à rétablir la gloire ancestrale de 秦孝公 tel que du temps d'un de ses aïeuls le 秦穆公
000074|hányù est l'initiateur du mouvement pour la gǔwén yùndòng.|00-fr|zh-5,fr-39,zh-13,fr|韓愈 est l'initiateur du mouvement pour la 古文運動.
000075|Cette configuration typique se retrouve également à běijīng, avec qui xīān partage de nombreux points communs.|00-fr|fr-52,zh-7,fr-11,zh-4,fr|Cette configuration typique se retrouve également à 北京, avec qui 西安 partage de nombreux points communs.
000076|tiānjīn est également l'une des quatre municipalités du pays qui sont directement gouvernées par le pouvoir central.|00-fr|zh-7,fr|天津 est également l'une des quatre municipalités du pays qui sont directement gouvernées par le pouvoir central.
000077|Le yǒngdìnghé est une rivière du nord de la Chine. Elle est l'un des tributaires du fleuve hǎihé.|00-fr|fr-3,zh-10,fr-78,zh-5,fr|Le 永定河 est une rivière du nord de la Chine. Elle est l'un des tributaires du fleuve 海河.
000078|Le sud de la huánghǎi, en particulier la côte ouest de la Corée,|00-fr|fr-13,zh-8,fr|Le sud de la 黄海, en particulier la côte ouest de la Corée,
000079|Les huit cantons de hāěrbīn étaient à l'origine une partie de la préfecture du sōnghuājiāng dìqū et se virent intégrés à la ville|00-fr|fr-20,zh-7,fr-52,zh-17,fr|Les huit cantons de 哈尔滨 étaient à l'origine une partie de la préfecture du 松花江地区 et se virent intégrés à la ville
000080|Le héběi apparaît désormais comme une périphérie supplémentaire de la capitale.|00-fr|fr-3,zh-5,fr|Le 河北 apparaît désormais comme une périphérie supplémentaire de la capitale.
