Charles André Joseph Marie de Gaulle war ein französischer General und Staatsmann.|fr-36,de-46
Unter anderem förderte er dank Pierre Brossolette und besonders Jean Moulin die Résistance.|de-31,fr-18,de-15,fr-11,de-5,fr-10,de
Im April ersetzte de Gaulle den Premierminister Michel Debré durch Georges Pompidou.|de-18,fr-9,de-21,fr-12,de-7,fr-16,de
Jean Marie Bastien-Thiry war mit dessen Algerien-Politik nicht länger einverstanden.|fr-24,de
Sein Name wurde auch dem gegenwärtig letzten französischen Flugzeugträger, der Charles de Gaulle gegeben.|de-79,fr-17,de
Die römisch-katholische Kirche Notre-Dame de Paris ist die Kathedrale des Erzbistums Paris.|de-31,fr-19,de
Neben Molière oder Balzac gilt er vielen Franzosen als ihr größter Autor überhaupt.|de-6,fr-7,de-6,fr-6,de
Auf der Geburtsanzeige seines dritten Kindes nennt Hugo sich stolz Baron.|de-51,fr-4,de
Bei der Abfassung hatte Chateaubriand aber sicher auch opportunistische Motive:|de-24,fr-13,de
Er musste die Briefe, die er täglich an Juliette Récamier schrieb, diktieren und unterschrieb sie mit zitternder Hand.|de-40,fr-17,de
Die noch bewohnte Cité de Carcassonne wird von einem doppelten Mauerring umschlossen.|de-18,fr-19,de
Flussaufwärts sind die nächsten Brücken der Pont de Tancarville und der Pont de Brotonne.|de-44,fr-19,de-9,fr-16,de
Die Bevölkerung von Marseille war seit jeher stolz und unabhängig und im ganzen Land dafür bekannt,|de-20,fr-9,de
François Hollande ist ein französischer Politiker der Sozialistischen Partei und war Staatspräsident der Französischen Republik.|fr-17,de
Sein Amtssitz ist der Élysée-Palast in Paris.|de-22,fr-13,de
Versailles ist eine französische Stadt in der Region Île-de-France.|fr-10,de-43,fr-13,de
Die waldreichen Talhänge bilden mit dem Bois des Fonds des Maréchaux.|de-40,fr-28,de
Zu Beginn seiner Herrschaft hielt sich der Monarch allerdings jeweils nur für kurze Zeit in Versailles auf.|de-92,fr-10,de
In Versailles benötigten sie häufig nur angemietete Unterkünfte, wovon insbesondere die Gastwirtschaft profitierte.|de-3,fr-10,de
Nachdem der König der Nationalversammlung jedoch den Zutritt in das Hôtel des Menus Plaisirs verweigert hatte,|de-68,fr-24,de
