Vincent Willem van Gogh war ein niederländischer Maler und Zeichner.|nl-23,de
Rembrandt Harmenszoon van Rijn gilt als einer der bedeutendsten und bekanntesten niederländischen Künstler des Barocks.|nl-30,de
Dennoch fand er probeweise eine Anstellung als Hilfsprediger im Borinage bei Mons, einem belgischen Steinkohlerevier,|de-64,nl-17,de
Ungefähr ein Fünftel der Landesfläche ist mit Wasser bedeckt, wovon das Ijsselmeer den größten Teil ausmacht,|de-72,nl-10,de
In der Folge wurden Teile der ehemaligen Zuiderzee als Polder trockengelegt,|de-41,nl-9,de
Sie liegt zwischen dem Ijsselmeer, der Ijssel und den Hügeln der Veluwe|de-23,nl-10,de-6,nl-6,de-20,nl
Edsger Wybe Dijkstra war ein niederländischer Informatiker. Er war der Wegbereiter der strukturierten Programmierung.|nl-20,de
Ijsselstein ist eine Gemeinde in der niederländischen Provinz Utrecht.|nl-11,de-51,nl-7,de
Die Koninklijke Luchtmacht der Niederlande, ist eine der vier niederländischen Teilstreitkräfte.|de-4,nl-22,de
Dennis Luyt ist ein niederländischer Generalleutnant und der Befehlshaber der niederländischen Luftstreitkräfte.|nl-11,de
Zijlstra sprach sich auch dafür aus, Langzeitstudenten mit einer Extra-Abgabe zu belegen.|nl-8,de
Boost begann als Zeichenlehrer und arbeitete anschließend für die Toonder studios des Zeichners Marten Toonder.|nl-5,de-60,nl-7,de-23,nl-14,de
Als katholisches Blatt konkurrierte De Tijd hauptsächlich mit De Maasbode und Het Spectrum,|de-17,nl-26,de-19,nl-11,de-5,nl-12,de
Die Katholieke Volkspartij war eine konfessionelle niederländische politische Partei,|de-4,nl-22,de
Den Haag wurde in dieser Epoche mehrere Male geplündert und niedergebrannt. |nl-8,de
Die Volkspartij voor Vrijheid en Democratie ist eine konservativ liberale Partei in den Niederlanden.|de-4,nl-39,de
Nach dem Zweiten Weltkrieg hatte es kurzzeitig eine Partij van de Vrijheid gegeben.|de-52,nl-22,de
Die Situation wurde noch schlimmer, weil die Republik aus der Provinz Noord-Brabant hohe Steuern herauspresste.|de-70,nl-26,de
Feld geräumt hatte, sah man schließlich für De Tijd als Tageszeitung kein Land mehr,|de-44,nl-7,de
Bijleveld hat Verwaltungswissenschaft an der Universität Twente studiert.|nl-9,de-48,nl-6,de
