000301|На протяжении истории běijīng был известен в Китае под разными именами.|09-ru|ru-22,zh-7,ru|Na protiazhenii istorii běijīng byl izvesten v Kitae pod raznymi imenami.|На протяжении истории 北京 был известен в Китае под разными именами.
000302|Кроме того běijīng является северным конечным пунктом dàyùnhé,|09-ru|ru-11,zh-7,ru-36,zh-7,ru|Krome togo běijīng iavliaetsia severnym konechnym punktom dàyùnhé,|Кроме того 北京 является северным конечным пунктом 大運河,
000303|shànghǎi имеет влажный субтропический климат с чертами муссонного.|09-ru|zh-8,ru|shànghǎi imeet vlazhnyĭ subtropicheskiĭ klimat s chertami mussonnogo.|上海 имеет влажный субтропический климат с чертами муссонного.
000304|Воды huáng hé активно используются для орошения сельскохозяйственных угодий.|09-ru|ru-5,zh-8,ru|Vody huáng hé aktivno ispolʹzuiutsia dlia orosheniia selʹskokhoziaĭstvennykh ugodiĭ.|Воды 黃河 активно используются для орошения сельскохозяйственных угодий.
000305|По окончании Второй мировой войны, когда трёхградье wǔhàn вновь вернулось под контроль гоминьдановских властей,|09-ru|ru-52,zh-5,ru|Po okonchanii Vtoroĭ mirovoĭ voĭny, kogda trëkhgradʹe wǔhàn vnovʹ vernulosʹ pod kontrolʹ gominʹdanovskikh vlasteĭ,|По окончании Второй мировой войны, когда трёхградье 武汉 вновь вернулось под контроль гоминьдановских властей,
000306|Сегодня shēnzhèn является одним из наиболее динамично развивающихся городов Китая,|09-ru|ru-8,zh-8,ru|Segodnia shēnzhèn iavliaetsia odnim iz naibolee dinamichno razvivaiushchikhsia gorodov Kitaia,|Сегодня 深圳 является одним из наиболее динамично развивающихся городов Китая,
000307|На протяжении многих веков из guǎngzhōu начинался морской Шёлковый путь.|09-ru|ru-30,zh-9,ru|Na protiazhenii mnogikh vekov iz guǎngzhōu nachinalsia morskoĭ Shëlkovyĭ putʹ.|На протяжении многих веков из 廣州 начинался морской Шёлковый путь.
000308|kǒngzǐ основал первый университет и систематизировал летописи, составленные в разных княжествах.|09-ru|zh-6,ru|kǒngzǐ osnoval pervyĭ universitet i sistematiziroval letopisi, sostavlennye v raznykh kniazhestvakh.|孔子 основал первый университет и систематизировал летописи, составленные в разных княжествах.
000309|zhānghéng первым в Китае заявил, что Луна светит отраженным солнечным светом, явился родоначальником количественной картографии|09-ru|zh-9,ru|zhānghéng pervym v Kitae zaiavil, chto Luna svetit otrazhennym solnechnym svetom, iavilsia rodonachalʹnikom kolichestvennoĭ kartografii|張衡 первым в Китае заявил, что Луна светит отраженным солнечным светом, явился родоначальником количественной картографии
000310|Подсчитано, что из семидесяти старших предков kāngyǒu wèi только одиннадцать в той или иной степени были связаны с конфуцианской учёностью.|09-ru|ru-46,zh-11,ru|Podschitano, chto iz semidesiati starshikh predkov kāngyǒu wèi tolʹko odinnadtsatʹ v toĭ ili inoĭ stepeni byli sviazany s konfutsianskoĭ uchënostʹiu.|Подсчитано, что из семидесяти старших предков 康有為 только одиннадцать в той или иной степени были связаны с конфуцианской учёностью.
000311|Однако неизвестно, каким способом líuxīn рассчитывал величину диагонали квадрата.|09-ru|ru-34,zh-6,ru|Odnako neizvestno, kakim sposobom líuxīn rasschityval velichinu diagonali kvadrata.|Однако неизвестно, каким способом 劉歆 рассчитывал величину диагонали квадрата.
000312|Его первый cháng lègōng был построен за рекой из руин циньской столицы.|09-ru|ru-11,zh-12,ru|Ego pervyĭ cháng lègōng byl postroen za rekoĭ iz ruin tsinʹskoĭ stolitsy.|Его первый 長樂宮 был построен за рекой из руин циньской столицы.
000313|днако эта структура, несколько отстранявшая от власти самого императора, не устраивала zhūyuánzhāng,|09-ru|ru-87,zh-12,ru|dnako ėta struktura, neskolʹko otstraniavshaia ot vlasti samogo imperatora, ne ustraivala zhūyuánzhāng,|днако эта структура, несколько отстранявшая от власти самого императора, не устраивала 朱元璋,
000314|После смерти zhèng hé и императора zhūzhānjī эти изоляционистские взгляды возобладали на всех уровнях в правительстве минского Китая.|09-ru|ru-13,zh-8,ru-14,zh-9,ru|Posle smerti zhèng hé i imperatora zhūzhānjī ėti izoliatsionistskie vzgliady vozobladali na vsekh urovniakh v pravitelʹstve minskogo Kitaia.|После смерти 鄭和 и императора 朱瞻基 эти изоляционистские взгляды возобладали на всех уровнях в правительстве минского Китая.
000315|Сам же nánjīng был переименован новыми цинскими властями в Цзяннин.|09-ru|ru-7,zh-7,ru|Sam zhe 南京 byl pereimenovan novymi tsinskimi vlastiami v Tsziannin.|Сам же nánjīng был переименован новыми цинскими властями в Цзяннин.
000316|zhūzhānjī имел двух сыновей и трёх дочерей.|09-ru|zh-9,ru|朱瞻基 imel dvukh synoveĭ i trëkh dochereĭ.|zhūzhānjī имел двух сыновей и трёх дочерей.
000317|Через территорию wéifāng протекают, впадая в huánghǎi, реки:|09-ru|ru-17,zh-7,ru-21,zh-8,ru|Cherez territoriiu 潍坊 protekaiut, vpadaia v wéifāng, reki:|Через территорию 潍坊 протекают, впадая в 黄海, реки:
000318|Климат chéngdū характеризуется как влажный субтропический. Комфортен как для проживания людей, так и для ведения сельского хозяйства.|09-ru|ru-7,zh-7,ru|Klimat chéngdū kharakterizuetsia kak vlazhnyĭ subtropicheskiĭ. Komforten kak dlia prozhivaniia liudeĭ, tak i dlia vedeniia selʹskogo khoziaĭstva.|Климат 成都 характеризуется как влажный субтропический. Комфортен как для проживания людей, так и для ведения сельского хозяйства.
000319|После проведения всех необходимых процедур wángmǎng признали новым императором.|09-ru|ru-43,zh-8,ru|Posle provedeniia vsekh neobkhodimykh protsedur wángmǎng priznali novym imperatorom.|После проведения всех необходимых процедур 王莽 признали новым императором.
000320|В реке cháng jiāng водятся по крайней мере два вымирающих вида:|09-ru|ru-7,zh-11,ru|V reke cháng jiāng vodiatsia po kraĭneĭ mere dva vymiraiushchikh vida:|В реке 長江 водятся по крайней мере два вымирающих вида:
