zài dìèrcìshìjièdàzhàn zhī shí， Düsseldorf jīhū bèi tóngméngguó jūn de rìyè hōngzhà yíwèipíngdì|zh-32,de-10,zh|在第二次世界大战之时，Düsseldorf几乎被同盟国军的日夜轰炸夷为平地|在第二次世界大战之时，杜塞尔多夫几乎被同盟国军的日夜轰炸夷为平地
tā de fùqīn Rudolf Schrödinger è shì shēngchǎn yóubù hé fángshǔibù de gōngchǎng zhǔ tóngshí yě shì yīmíng yuányìjiā。|zh-12,de-18,zh|他的父亲Rudolf Schrödinger是生产油布和防水布的工厂主同时也是一名园艺家。|他的父亲鲁道夫·薛定諤是生产油布和防水布的工厂主同时也是一名园艺家。
Werner Karl Heisenberg céngjīng shì déguó héwǔqì kāifājìhuá yánzhì de cānyǔzhě，|de-22,zh|Werner Karl Heisenberg曾经是德国核武器开发计划研制的参与者，|海森堡曾经是德国核武器开发计划研制的参与者，
ránér zài rìcháng shǐyòng zhōng， München rén gèng duō de hùi cānzhào lìshǐxìng de fēnqū hé shèqū。|zh-33,de-7,zh|然而在日常使用中，München人更多的会参照历史性的分区和社区。|然而在日常使用中，慕尼黑人更多的会参照历史性的分区和社区。
München shùiwùjú zé yǐ jiāng dàbùfēn de wénjiàn chùlǐ gōngzuò wàibāo gěi le dàigēn Deggendorf|de-7,zh-76,de|München税务局则已将大部分的文件处理工作外包给了Deggendorf|慕尼黑税务局则已将大部分的文件处理工作外包给了代根多夫
tā de fùqīn Fritz Schröder zài shīluōdé chūshēng hòu bùjǐu hòu yú luōmǎníyà zhànsǐ。|zh-12,de-14,zh|他的父亲Fritz Schröder在施罗德出生后不久后於罗马尼亚战死。|他的父亲福瑞兹·施罗德在施罗德出生后不久后於罗马尼亚战死。
Angela Dorothea Merkel ěr de zhèngzhì shēngyá déyìyú qiánliánbāng zǒnglǐ Helmut Kohl de tíbá。|de-22,zh-51,de-11,zh|Angela Dorothea Merkel的政治生涯得益于前聯邦總理Helmut Kohl的提拔。|安格拉·默克爾的政治生涯得益于前聯邦總理赫尔穆特·科尔的提拔。
Berlin dūhùiqū yǒu zhīmíng dàxué， yánjīuyuàn， tǐyùsàishì， guǎnxiánlèdùi， bówùguǎn hé zhīmíngrénshì|de-6,zh|Berlin都会区有知名大学、研究院、体育赛事、管弦乐队、博物馆和知名人士|柏林都会区有知名大学、研究院、体育赛事、管弦乐队、博物馆和知名人士
zhègè jùběn shì Schiller chuàngzuò fēnggé de zhuǎnzhédiǎn， biǎomíng tā yǐjīng yóu kuángbiāo tūjìn shí de jījìn gémìng jīngshén zhuǎnhuà wèi wēnhé de gǎiliáng sīxiǎng。|zh-16,de-8,zh|这个剧本是Schiller创作风格的转折点，表明他已经由狂飙突进时的激进革命精神转化为温和的改良思想。|这个剧本是席勒创作风格的转折点，表明他已经由狂飙突进时的激进革命精神转化为温和的改良思想。
Johann Christoph Friedrich von Schiller tóngniánshídài jìu dùi shīgē， xìjù yǒu nónghòu de xīngqù|de-39,zh|Johann Christoph Friedrich von Schiller童年时代就对诗歌、戏剧有浓厚的兴趣|席勒童年时代就对诗歌、戏剧有浓厚的兴趣
Tübingen zhōubiān de rénlèi huódòng zhìchí chūxiàn yú mǎ gédélín shíqī。|de-8,zh|Tübingen周边的人类活动至迟出现于马格德林时期。|圖賓根周边的人类活动至迟出现于马格德林时期。
jiǎrú gèngduōdì guānzhù Goethe de kēxué fāngfǎ， jí zìrán yánjīu de jīchǔ，|zh-24,de-6,zh|假如更多地关注Goethe的科学方法，即自然研究的基础，|假如更多地关注歌德的科学方法，即自然研究的基础，
Johann Wolfgang von Goethe gānggāng jiéshù le fǎxué de xuéxí，|de-26,zh|Johann Wolfgang von Goethe刚刚结束了法学的学习，|歌德刚刚结束了法学的学习，
shǐ Sachsen-Anhalt zhōu xǔduō rén shīyè。 Sachsen-Anhalt zhōu shì jīntiān déguó shīyèlv̀ bǐjiào gāo|zh-4,de-15,zh-23,de-14,zh|使Sachsen-Anhalt特州许多人失业。Sachsen-Anhalt特州是今天德国失业率比较高|使萨克森-安哈尔特州许多人失业。萨克森-安哈尔特州是今天德国失业率比较高
bànsúi zháo wū bùlì xī de jīngjì zhèngzhì lǐlùn zài zhōngyāng de tùichū， Erich Honecker de shèhùi zhèngzhì lǐlùn bèi xuǎnzé。|zh-73,de-14,zh|伴随着烏布利希的经济政治理论在中央的退出，Erich Honecker的社会政治理论被选择。|伴随着烏布利希的经济政治理论在中央的退出，埃里希·昂纳克的社会政治理论被选择。
Deutsche Demokratische Republik de dàgūimó yímín cháoshǐ qí shēngcún shòudào wēixié，|de-31,zh|Deutsche Demokratische Republik的大规模移民潮使其生存受到威胁，|民主德国的大规模移民潮使其生存受到威胁，
ránhòulái Rhein wǎng xīlíu， jìnrù le hélánjìng nèi。|zh-10,de-5,zh|然後萊Rhein西流，進入了荷蘭境內。|然後萊茵河往西流，進入了荷蘭境內。
Höllentalspitzen shì déguó de shānfēng， wèi yú gāi guódōng nánbù|de-16,zh|Höllentalspitzen是德國的山峰，位於該國東南部|赫倫塔爾峰是德國的山峰，位於該國東南部
cóng déguó jìngnèi xiǎozhèn Garmisch-Partenkirchen tōngwǎng shāndǐng。|zh-28,de-22,zh|从德国境内小镇Garmisch-Partenkirchen通往山顶。|从德国境内小镇Garmisch-Partenkirchen通往山顶。 
xiànzài Zugspitze zùigāodiǎn de biāozhì shì yòu fēngdǐng shàng de jīnsè shízìjià。|zh-8,de-9,zh|现在Zugspitze最高点的标志是右峰顶上的金色十字架。|现在楚格峰最高点的标志是右峰顶上的金色十字架。
